,Conference,School
0,ACC,Boston College
1,ACC,Clemson
2,ACC,Duke
3,ACC,Florida State
4,ACC,Georgia Tech
5,ACC,Louisville
6,ACC,Miami (FL)
7,ACC,North Carolina
8,ACC,NC State
9,ACC,Pittsburgh
10,ACC,Syracuse
11,ACC,Virginia
12,ACC,Virginia Tech
13,ACC,Wake Forest
14,ACC,Notre Dame
15,Big Ten,Illinois
16,Big Ten,Indiana
17,Big Ten,Iowa
18,Big Ten,Maryland
19,Big Ten,Michigan
20,Big Ten,Michigan State
21,Big Ten,Minnesota
22,Big Ten,Nebraska
23,Big Ten,Northwestern
24,Big Ten,Ohio State
25,Big Ten,Penn State
26,Big Ten,Purdue
27,Big Ten,Rutgers
28,Big Ten,Wisconsin
29,Big 12,Baylor
30,Big 12,BYU
31,Big 12,Cincinnati
32,Big 12,Houston
33,Big 12,Iowa State
34,Big 12,Kansas
35,Big 12,Kansas State
36,Big 12,Oklahoma
37,Big 12,Oklahoma State
38,Big 12,TCU
39,Big 12,Texas
40,Big 12,Texas Tech
41,Big 12,UCF
42,Big 12,West Virginia
43,Pac-12,Arizona
44,Pac-12,Arizona State
45,Pac-12,California
46,Pac-12,UCLA
47,Pac-12,Colorado
48,Pac-12,Oregon
49,Pac-12,Oregon State
50,Pac-12,USC
51,Pac-12,Stanford
52,Pac-12,Utah
53,Pac-12,Washington
54,Pac-12,Washington State
55,SEC,Alabama
56,SEC,Arkansas
57,SEC,Auburn
58,SEC,Florida
59,SEC,Georgia
60,SEC,Kentucky
61,SEC,LSU
62,SEC,Ole Miss
63,SEC,Mississippi State
64,SEC,Missouri
65,SEC,South Carolina
66,SEC,Tennessee
67,SEC,Texas A&M
68,SEC,Vanderbilt
